konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
ACNES,D8053,Acnes DeepPore 50gr,D8053-Acnes-DeepPore-50gr,13575,15068,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes DermaCare 20ml,D8053-Acnes-DermaCare-20ml,60883,67580,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Derma-Care-Anti-Blemish-Essence-20ml-Anti-Bleamish-Essence-Gentle-Cleanser-i.744873.7849141642?sp_atk=738352d5-08c4-4bb7-b48d-dd9f3e8fb29d&xptdk=738352d5-08c4-4bb7-b48d-dd9f3e8fb29d,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-ACNES-Derma-Care-Anti-Blemish-Essence-20mL-Gentle-Cleanser-120-anti-jerawat-PROMO-i.48382819.7550987791?sp_atk=930dd42b-d2e8-471e-bd61-7db84d8803ce&xptdk=930dd42b-d2e8-471e-bd61-7db84d8803ce,,,,,,,,,,,,,,
ACNES,D8053,Acnes DermaGentleCleanser ,D8053-Acnes-DermaGentleCleanser,46602,51728,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Derma-Care-Anti-Blemish-Essence-20ml-Anti-Bleamish-Essence-Gentle-Cleanser-i.744873.7849141642?sp_atk=738352d5-08c4-4bb7-b48d-dd9f3e8fb29d&xptdk=738352d5-08c4-4bb7-b48d-dd9f3e8fb29d,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-ACNES-Derma-Care-Anti-Blemish-Essence-20mL-Gentle-Cleanser-120-anti-jerawat-PROMO-i.48382819.7550987791?sp_atk=930dd42b-d2e8-471e-bd61-7db84d8803ce&xptdk=930dd42b-d2e8-471e-bd61-7db84d8803ce,,,,,,,,,,,,,,
ACNES,D8053,Acnes FoamWash 100ml,D8053-Acnes-FoamWash-100ml,27059,30186,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlMilkCleanser 110ml,D8053-Acnes-OilControlMilkCleanser-110ml,26308,29202,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Natural-Care-Acne-Treatment-Series-Berjerawat-i.744873.1705796843?sp_atk=5b290891-526a-42ce-bb63-7a05ca886f9a&xptdk=5b290891-526a-42ce-bb63-7a05ca886f9a,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-ACNES-Natural-Care-Oil-Control-Series-Milk-Cleanser-Toner-Powder-Lotion-Cream-jerawat-i.48382819.2392997137?sp_atk=91502444-88d7-4c25-8d30-779abacbc5c1&xptdk=91502444-88d7-4c25-8d30-779abacbc5c1,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlFilm 50lbr,D8053-Acnes-OilControlFilm-50lbr,0,27671,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Natural-Care-Acne-Treatment-Series-Berjerawat-i.744873.1705796843?sp_atk=5b290891-526a-42ce-bb63-7a05ca886f9a&xptdk=5b290891-526a-42ce-bb63-7a05ca886f9a,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-ACNES-Oil-Control-Film-(Kertas-Minyak)-50-lembar-i.48382819.2836937820?sp_atk=b7afa1ab-e1f8-4ba9-ae86-f1c47230cdb2&xptdk=b7afa1ab-e1f8-4ba9-ae86-f1c47230cdb2,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlFW 100gr,D8053-Acnes-OilControlFW-100gr,22925,25679,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlFW 50gr,D8053-Acnes-OilControlFW-50gr,13575,15068,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Creamy-Wash-Foaming-WashingBar-Complete-White-Oil-Control-Sabun-Cuci-Muka-Anti-Jerawat-Badan-i.744873.7649562353?sp_atk=b33a2183-3c71-4db5-9b89-74bfd46d5746&xptdk=b33a2183-3c71-4db5-9b89-74bfd46d5746,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Creamy-Wash-Foaming-Washing-Bar-50g-80g-100g-Sabun-cuci-muka-anti-jerawat-badan-i.48382819.2374535299?sp_atk=080a3693-a063-4d09-b94d-d898460157b7&xptdk=080a3693-a063-4d09-b94d-d898460157b7,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlMask 24ml,D8053-Acnes-OilControlMask-24ml,15785,17521,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Natural-Care-Acne-Treatment-Series-Berjerawat-i.744873.1705796843?sp_atk=5b290891-526a-42ce-bb63-7a05ca886f9a&xptdk=5b290891-526a-42ce-bb63-7a05ca886f9a,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-Acnes-Oil-Control-Mask-(Masker-khusus-jerawat-dan-kulit-berminyak)-24ml-i.48382819.4501841674?sp_atk=4b043305-8d9e-4f9c-a84c-e1b4d34a596a&xptdk=4b043305-8d9e-4f9c-a84c-e1b4d34a596a,,,,,,,,,,,,,,
ACNES,D8053,Acnes OilControlToner ,D8053-Acnes-OilControlToner,24053,26941,DOMMO,https://shopee.co.id/DOMMO-D8053-Acnes-Natural-Care-Acne-Treatment-ALL-Series-Facial-Wash-Face-Wash-Lotion-Cleanser-i.135900627.9675925503?sp_atk=18be32e2-cbcc-4b94-9127-12b11a14e085,TNT,https://shopee.co.id/Acnes-Natural-Care-Acne-Treatment-Series-Berjerawat-i.744873.1705796843?sp_atk=5b290891-526a-42ce-bb63-7a05ca886f9a&xptdk=5b290891-526a-42ce-bb63-7a05ca886f9a,BELIA,https://shopee.co.id/%E2%9D%A4-BELIA-%E2%9D%A4-ACNES-Natural-Care-Oil-Control-Series-Milk-Cleanser-Toner-Powder-Lotion-Cream-jerawat-i.48382819.2392997137?sp_atk=91502444-88d7-4c25-8d30-779abacbc5c1&xptdk=91502444-88d7-4c25-8d30-779abacbc5c1,,,,,,,,,,,,,,
