konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
TATA,D5108,GRIETA,D5108 GRIETA,27000,31900,DOMMO,https://shopee.co.id/product/135900627/9290753713/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5110,ANDIN,D5110 ANDIN,10350,15000,DOMMO,https://shopee.co.id/-D5110-SANDAL-FLIP-FLOP-ANDIN-DAFF-62-i.135900627.12346728412?sp_atk=b0c14bd9-7557-4f0c-9190-8713873b8044,DAFFA WAHYU,https://shopee.co.id/DAFF-62-SANDAL-FLIP-FLOP-ANDIN-i.8938041.9616054521?sp_atk=069457b0-2104-4b7f-a8d7-bfc48bdeba17,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5040,HAK TAHU KEPANG,D5040 HAK TAHU KEPANG,24715,30999,DOMMO,,DAFFA WAHYU,https://shopee.co.id/AD-05-HAK-TAHU-KEPANG-i.8938041.5313898381?sp_atk=a562b7b8-df9e-434e-8ccb-15a25b6c9f3e,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5116,MJ,D5116 MJ,36000,38999,DOMMO,https://shopee.co.id/(-LOKAL-)-DOMMO-D5116-Sepatu-MJ-Sneaker-Wanita-ISHTAR-OWN-WAY-Runing-Shoes-Olaharaga-Cewe-Santai-i.135900627.19828667271?sp_atk=7817723c-a442-4db2-9f26-9b8e6d8e381b&xptdk=7817723c-a442-4db2-9f26-9b8e6d8e381b,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5057,Sneaker Novi,D5057 Sneaker Novi,32200,44900,DOMMO,,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5115,Sepatu ABC,D5115 Sepatu ABC,32215,34999,DOMMO,https://shopee.co.id/(-LOKAL-)-DOMMO-D5115-Sepatu-ABC-NEW-Sneakers-Wanita-Sport-Shoes-ABC-NEW-i.135900627.14690456661?sp_atk=a236c4c7-11e8-426e-85f5-c39cbbd9fce7&xptdk=a236c4c7-11e8-426e-85f5-c39cbbd9fce7,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5101,Sepatu MPV,D5101 Sepatu MPV,26680,36000,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5101-Sepatu-MVP-Cewe-Sepatu-fashion-Pria-wanita-i.135900627.9216182085?sp_atk=08f876a7-9026-4fd1-af85-4616deffb421&xptdk=08f876a7-9026-4fd1-af85-4616deffb421,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5073,Sepatu T-BAO,D5073 Sepatu T-BAO,34200,42500,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5073-SEPATU-T-BAO-Sepatu-Olahraga-Wanita-terbaru-warna-Putih-Sepatu-Cewek-trendy-i.135900627.6941848753?sp_atk=7dec7953-e68a-4773-ae30-4f13aae3b538&xptdk=7dec7953-e68a-4773-ae30-4f13aae3b538,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5117,ZAHRA,D5117 ZAHRA,19215,25000,DOMMO,https://shopee.co.id/product/135900627/11897659810/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5118,EVEREST,D5118 EVEREST,25215,38000,DOMMO,https://shopee.co.id/product/135900627/16183090015/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5119,SLOP PITA,D5119 SLOP PITA,19715,25000,DOMMO,https://shopee.co.id/product/135900627/21037834137/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5120,Shasa,D5120 Shasa,27000,32999,DOMMO,https://shopee.co.id/DOMMO-D5120-Hak-Tahu-SHASHA-Wanita-3Cm-Slop-kokop-SA95-i.135900627.10097736604?sp_atk=163d3cfd-08b2-4908-8033-64db02bd230c&xptdk=163d3cfd-08b2-4908-8033-64db02bd230c,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5121,Sinta,D5121 Sinta,22000,24999,DOMMO,https://shopee.co.id/DOMMO-D5121-HAK-TAHU-SINTA-i.135900627.21639864588?sp_atk=efe2f0ff-46e9-4e03-8168-c2f70328b93d&xptdk=efe2f0ff-46e9-4e03-8168-c2f70328b93d,DAFFA WAHYU,https://shopee.co.id/JURAGAN-PROMO-9.9-BIG-SALE-BY-05-HAK-TAHU-SINTA-i.161194304.20035796416?sp_atk=c2675e98-1d52-48d6-a05d-8f9691fbb784&xptdk=c2675e98-1d52-48d6-a05d-8f9691fbb784,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5122,Wanda,D5122 Wanda,18500,23999,DOMMO,https://shopee.co.id/product/135900627/19639869831/,DAFFA WAHYU,https://shopee.co.id/PROMO-9.9-BIG-SALE-RS-36-FLATSHOES-TALI-KARET-SANIA-i.8938041.4489989740?sp_atk=e8ae5764-b01f-46de-aa48-6377c3e7865d&xptdk=e8ae5764-b01f-46de-aa48-6377c3e7865d,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5123,Milea,D5123 Milea,10500,13499,DOMMO,https://shopee.co.id/product/135900627/18339874418/,DAFFA WAHYU,https://shopee.co.id/IDN-03-SANDAL-FLIP-FLOP-MILEA-i.8938041.9419155215?sp_atk=0308904f-144b-42b4-a739-d145e41eb353&xptdk=0308904f-144b-42b4-a739-d145e41eb353,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5124,Wendy,D5124 Wendy,18500,23999,DOMMO,https://shopee.co.id/product/135900627/18539875482/,DAFFA WAHYU,https://shopee.co.id/PROMO-9.9-BIG-SALE-RS-28-FLATSHOES-PITA-ANDINI-i.8938041.5454468933?sp_atk=cf45efc1-d4f9-48f4-bedf-7a54c3beedec&xptdk=cf45efc1-d4f9-48f4-bedf-7a54c3beedec,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5125,Pelma,D5125 Pelma,32500,38500,DOMMO,https://shopee.co.id/product/135900627/19339877486/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5126,Monalisa,D5126 Monalisa ,21209,29750,DOMMO,https://shopee.co.id/product/135900627/19842308394/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5127,AMD,D5127 AMD,31709,38000,DOMMO,https://shopee.co.id/product/135900627/17584302812/,DAFFA WAHYU,https://shopee.co.id/AMD-02-SANDAL-SANTAI-i.8938041.10438426085?sp_atk=0506bc13-2813-488f-977c-5689599d2b49&xptdk=0506bc13-2813-488f-977c-5689599d2b49,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5128,keysa,D5128 keysa,22209,26900,DOMMO,https://shopee.co.id/product/135900627/18942317596/,DAFFA WAHYU,https://shopee.co.id/PROMO-9.9-BIG-SALE-JA-20-HAK-TAHU-KEYSA-PREMIUM-i.8938041.13602994593?sp_atk=cc202548-6ccc-4d0d-884a-0a1deec317cf&xptdk=cc202548-6ccc-4d0d-884a-0a1deec317cf,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5129,flastshoes kerut,D5129 flastshoes kerut,18709,25000,DOMMO,https://shopee.co.id/product/135900627/21742317250/,DAFFA WAHYU,https://shopee.co.id/PROMO-9.9-BIG-SALE-RS-39-FLATSHOES-BEST-SELLER-i.8938041.8259459721?sp_atk=68acd02b-cfe8-4799-a843-9867b2e33037&xptdk=68acd02b-cfe8-4799-a843-9867b2e33037,JURAGAN SEPATU,,,,,,,,,,,,,,,
TATA,D5130,SALUR,D5130 SALUR,10709,14999,DOMMO,https://shopee.co.id/product/135900627/20342321497/,DAFFA WAHYU,https://shopee.co.id/DAFF-68-SANDAL-FLIP-FLOP-SALUR-i.8938041.6384139565?sp_atk=da4f76d5-e501-4b6d-9ee9-6bb8eba619b1&xptdk=da4f76d5-e501-4b6d-9ee9-6bb8eba619b1,JURAGAN SEPATU,,,,,,,,,,,,,,,
