konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,anama,alink,bnama,blink,cnama,clink,dnama,dlink,aclick1,aclick2,aclick3,bclick1,bclick2,bclick3,cclick1,cclick2,cclick3,dclick1,dclick2,dclick3
MAULSANDAL,D5078,PINKPANTHER,D5078-PINKPANTHER,3700,4299,DOMMO,https://shopee.co.id/-LOKAL--D5078-SANDAL-JEPIT-MOTIF-PINK-PANTHER-SENDAL-Flipflop-Terbaru-i.135900627.5644120436?sp_atk=be83a24d-0690-445b-8ec7-2be25330dd96,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5081,SANDAL ELMO,D5081 SANDAL ELMO,3700,4500,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5081-SANDAL-JEPIT-SPON-MOTIF-ELMO-TERBARU-SENDAL-ELMO-i.135900627.7345333656?sp_atk=9206a250-1bca-48bd-83ec-d7cc597def77&xptdk=9206a250-1bca-48bd-83ec-d7cc597def77,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5082,SENDALHELLOKITTY,D5082-SENDALHELLOKITTY,3700,4500,DOMMO,https://shopee.co.id/-LOKAL--D5082-Sandal-Jepit-Slifer-HelloKitty-Wanita-Terbaru-Sandal-Hello-Kitty-Sendal-i.135900627.5446470676?sp_atk=9e817093-3c7d-4f9c-86d9-b855c7e3b5eb,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5084,SWEDEETNIK,D5084-SWEDEETNIK,6000,6500,DOMMO,https://shopee.co.id/-LOKAL--D5084-Sandal-Slip-Wanita-Suede-Etnik-RM-03-i.135900627.5049142759?sp_atk=ab3a824e-6548-445c-a065-0c1c27be70da,DAFFA WAHYU,https://shopee.co.id/PROMO-8-8-SALE-SANDAL-SUEDE-ETNIK-WANITA-CANTIK-i.76252588.4031375839?sp_atk=dba62b02-2efb-4789-9faa-6bcae9431950&xptdk=dba62b02-2efb-4789-9faa-6bcae9431950,JURAGAN SEPATU,https://shopee.co.id/SANDAL-WANITA-SUADE-ETNIK-i.69102850.7743573308?sp_atk=47ec624f-1d61-4ec0-b9a4-63b5fa5170eb&xptdk=47ec624f-1d61-4ec0-b9a4-63b5fa5170eb,,,,,,,,,,,,,,
MAULSANDAL,D5091,SANDALBALON,D5091-SANDALBALON,3700,4500,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5091-SANDAL-JEPIT-BALON-SPON-JELLY-ROMANTIC-KAPAL-SENDAL-JEPIT-BOGOR-MURAH-i.135900627.3565306799?sp_atk=24793c0d-882d-45e9-b451-b54f412f24a1,DAFFA WAHYU,https://shopee.co.id/SGC-32-SANDAL-JEPIT-TRENDI-i.8938041.6613311101?sp_atk=6b797d31-bc35-48cd-a1f6-13e05d30d75c,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5092,SANDAL DORAEMON,D5092 SANDAL DORAEMON,3700,4299,DOMMO,https://shopee.co.id/-LOKAL-DOMMO-D5092-Sandal-Jepit-DORAEMON-SENDAL-JEPIT-MURAH-i.135900627.6967757303?sp_atk=ef33b196-56ec-44a5-a82b-ae1d9912fd5d&xptdk=ef33b196-56ec-44a5-a82b-ae1d9912fd5d,DAFFA WAHYU,,JURAGAN SEPATU,https://shopee.co.id/SANDAL-DORAEMON-TALI-JELLY-DORAEMON-i.56360920.2864898585?sp_atk=195c6c3e-4cb3-48a0-b4ce-d50ab3cb9f5e&xptdk=195c6c3e-4cb3-48a0-b4ce-d50ab3cb9f5e,,,,,,,,,,,,,,
MAULSANDAL,D5102,SANDALWANITAKERUT,D5102-SANDALWANITAKERUT,7750,9999,DOMMO,https://shopee.co.id/product/135900627/4082662123/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5109,SENDALBULU,D5109-SENDALBULU,5250,5999,DOMMO,https://shopee.co.id/-D5109-Sandal-Bulu-Rasfur-Wanita-cantik-i.135900627.13424274774?sp_atk=f6dd7548-4297-46b8-87d7-4bfdeea4697f,DAFFA WAHYU,https://shopee.co.id/DF01-spon-cantik-1-KG-20-psg-i.8938041.1348845021?sp_atk=13b9e92c-3e7c-46b7-b033-05f0bcb28a8f,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5114,SANDAL EGR,D5114 SANDAL EGR,11500,18000,DOMMO,https://shopee.co.id/DOMMO-D5114-SANDAL-EGR-SANDAL-JEPIT-SANDAL-GUNUNG-SANDAL-JAPIT-HITAM-i.135900627.13594795056?sp_atk=d4008403-79a8-4286-ac9a-7f5e2f0f2d59&xptdk=d4008403-79a8-4286-ac9a-7f5e2f0f2d59,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5113,Sandal Daisy,D5113 Sandal Daisy,3700,4500,DOMMO,https://shopee.co.id/DOMMO-D5113-SANDAL-JEPIT-WANITA-DAISY-i.135900627.14778345291?sp_atk=aa6f2b46-dc0e-4af0-83d7-e3b38128dda3&xptdk=aa6f2b46-dc0e-4af0-83d7-e3b38128dda3,DAFFA WAHYU,,JURAGAN SEPATU,https://shopee.co.id/Sandal-Jepit-Sandal-Flip-Flop-Wanita-Daisy-Terbaru-i.350843751.14933053173?sp_atk=e0d2c383-1c31-45fd-a14b-b1b0dae94465&xptdk=e0d2c383-1c31-45fd-a14b-b1b0dae94465,,,,,,,,,,,,,,
MAULSANDAL,D5112,Sandal Jepit Hello Kitty,D5112 Sandal Jepit Hello Kitty,3700,4299,DOMMO,https://shopee.co.id/DOMMO-D5112-Sandal-Jepit-Hello-Kitty-Love-Sliper-Wanita-Sandal-Hello-Kitty-Murah-Sandal-i.135900627.10592900449?sp_atk=590fdea4-f952-4e20-877d-11548f106dfc&xptdk=590fdea4-f952-4e20-877d-11548f106dfc,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
MAULSANDAL,D5016,SENDAL JEPIT SPON,D5016 SENDAL JEPIT SPON,3700,4990,DOMMO,https://shopee.co.id/product/135900627/4623724071/,DAFFA WAHYU,,JURAGAN SEPATU,,,,,,,,,,,,,,,
