konveksi,kodebarang,namabarang,deskripsi,hargamodal,dailyprice,linkproduk,hargaproduk,anamapesaing,ahargapesaing,alinkpesaing,bnamapesaing,bhargapesaing,blinkpesaing
SONY,D1066,ALADIN,D1066 ALADIN,12150,13500,https://shopee.co.id/product/135900627/6109606225/,13500,MORY MONY,10000,https://shopee.co.id/MORYMONY-ALADIN-Tas-Ransel-Backpack-Fashion-i.20287667.6200192479?sp_atk=ebc1e711-a97b-4c09-9f5b-e05f2f9a65d1,REYRESHY,13500,https://shopee.co.id/RR-ALADIN-Tas-Ransel-Backpack-Fashion-i.154549401.7638048021?sp_atk=a520adb1-4c77-4e7b-bc9d-8d8166ff497b
SONY,D1088,BE YOUR STYLE,D1088 BE YOUR STYLE,10005,10999,https://shopee.co.id/-LOKAL--D1088-TAS-BE-YOUR-STYLE-Tas-Ransel-Backpack-Korea-Ransel-Sekolah-SWAG-MORYMONY-i.135900627.6108607332?sp_atk=38096806-f5ba-4869-bb94-2a6e1dbc32b6,10999,MORY MONY,10000,https://shopee.co.id/MORYMONY-TAS-BE-YOUR-STYLE-Tas-Ransel-Backpack-Korea-Ransel-Sekolah-SWAG-i.20287667.1901489994?sp_atk=02b89cd3-b0d9-4c82-96dd-aebc0d6a4e44,REYRESHY,12500,https://shopee.co.id/RR-TAS-BE-YOUR-STYLE-Tas-Ransel-Backpack-Korea-i.154549401.3601320707?sp_atk=9465fbd3-5670-4e1e-9a92-1dbac8668d39
SONY,D1096,BACKPACK HOME,D1096 BACKPACK HOME,10005,10999,https://shopee.co.id/-LOKAL--D1096-BACKPACK-HOME-BISA-COD-Tas-Ransel-Fashion-Sweet-Morymony-i.135900627.3615005785?sp_atk=2d31c494-a6f0-4cc3-93f8-d82e11c87e7d,10999,MORY MONY,10000,https://shopee.co.id/MORYMONY-HOME-FEMME-Tas-Ransel-Backpack-Fashion-i.20287667.1919899204?sp_atk=935ed482-5328-4ac4-84d9-e3de9550a727,REYRESHY,13500,https://shopee.co.id/RR-HOME-FEMME-Tas-Ransel-Backpack-Fashion-i.154549401.3601319242?sp_atk=092651ed-f003-4902-9980-8abad49b5e95
SONY,D1122,MISCAT,D1122 MISCAT,13920,17999,https://shopee.co.id/-LOKAL--D1122-TAS-MISCAT-Dari-Jakarta-Tas-Ransel-Backpack-Tas-Sekolah-morymony-i.135900627.5915788683?sp_atk=8e3149fe-106b-4322-b715-0c3470d69a0c,17999,MORY MONY,- ,https://shopee.co.id/MORYMONY-TAS-MISCAT-LAMA-Tas-Ransel-Backpack-Fashion-Tas-Sekolah-i.20287667.464750566?sp_atk=5d7f3456-884b-4f1c-9089-7d48355f7531,REYRESHY,20000,https://shopee.co.id/RR-TAS-MISCAT-LAMA-Tas-Ransel-Backpack-Fashion-i.154549401.5737782696?sp_atk=f7055d51-3543-495c-80c6-8d6414077b27
SONY,D1139,JABOX,D1139 JABOX,13920,15499,https://shopee.co.id/product/135900627/5615827637/,15499,MORY MONY,12000,https://shopee.co.id/MORYMONY-TAS-JABOX-Tas-Ransel-Backpack-Fashion-Tas-Sekolah-i.20287667.464716169?sp_atk=c4c7d723-30a6-443a-84b7-65fa6d4100ee,REYRESHY,19000,https://shopee.co.id/RR-TAS-JABOX-Tas-Ransel-Backpack-Fashion-Tas-Sekolah-i.154549401.5437785361?sp_atk=971a1e01-dfbb-4e80-b866-398bc50bea66
SONY,D1141,BUNNY,D1141 BUNNY,14790,16500,https://shopee.co.id/product/135900627/7015856986/,16500,MORY MONY,12000,https://shopee.co.id/MORYMONY-TAS-BUNNY-Tas-Ransel-Backpack-Fashion-i.20287667.464673697?sp_atk=033874da-7cb5-40ff-96d9-ed44babd81d4,REYRESHY,20000,https://shopee.co.id/RR-TAS-BUNNY-Tas-Ransel-Backpack-Fashion-i.154549401.4738025550?sp_atk=3683cccd-cb78-4ff4-b16d-240e3f245b1f
SONY,D1280,MAUDY,D1280 MAUDY,12150,14500,https://shopee.co.id/product/135900627/6730987969/,14500,MORY MONY,10000,https://shopee.co.id/MORYMONY-MAUDY-Tas-Ransel-Backpack-Fashion-i.20287667.2864209711?sp_atk=82f5722a-8b47-4b69-8998-504438bffb40,REYRESHY,11500,https://shopee.co.id/RR-BAIM-Waistbag-Tas-Pinggang-Pria-Wanita-i.154549401.3369010699?sp_atk=979d0d1f-22dc-43a4-ab5a-cc9b974618d8
SONY,D1371,RANSEL CHUNJI,D1371 RANSEL CHUNJI,19879,23850,https://shopee.co.id/-LOKAL--D1371-TAS-RANSEL-CHUNJI-Tas-Ransel-Backpack-Pria-dan-Wanita-MORYMONY-i.135900627.5553546521?sp_atk=782219c2-fae6-4637-9845-9b60ef84587a,23850,MORY MONY,- ,https://shopee.co.id/MORYMONY-CHUNJI-Tas-Ransel-Backpack-Pria-dan-Wanita-i.20287667.5552918540?sp_atk=ee07b1b6-f1ec-4fc2-8df6-fe3cb6994484,REYRESHY,26500,https://shopee.co.id/RR-CHUNJI-VS-BOMBER-Tas-Ransel-Backpack-Wanita-Pria-i.154549401.7651432001?sp_atk=446d3b1d-1036-45f0-8085-0bca2655c447
SONY,D1426,WAISTBAG BAIM,D1426 WAISTBAG BAIM,7140,8299,https://shopee.co.id/-LOKAL--D1426-Waistbag-BAIM-Waistbag-Tas-Pinggang-Pria-Wanita-i.135900627.3269295835?sp_atk=22e29bb8-acd3-4eff-b113-623ca6c63831,8299,MORY MONY,6000,https://shopee.co.id/MORYMONY-BAIM-Waistbag-Tas-Pinggang-Pria-Wanita-i.20287667.6358975837?sp_atk=b0b1fb2a-92ff-4b1a-b6b0-3ea9e3a93f79,REYRESHY,-,-
